city,total_cases,total_deaths,lat,lon
Adamantina,1,0,-21,682
Águas de Lindóia,1,1,-22,4733
Águas de São Pedro,1,0,-22,5977
Agudos,4,1,-22,4694
Americana,15,2,-22,7374
Américo Brasiliense,3,0,-21,7288
Amparo,4,0,-22,7088
Andradina,1,0,-20,8948
Apiaí,1,0,-24,5108
Araçariguama,1,0,-23,4366
Araçatuba,28,0,-21,2076
Araçoiaba da Serra,1,0,-23,5029
Araraquara,27,2,-21,7845
Araras,6,0,-22,3572
Artur Nogueira,1,0,-22,5727
Arujá,15,1,-23,3965
Assis,6,1,-22,66
Atibaia,14,1,-23,1171
Avaré,5,1,-23,1067
Bady Bassitt,2,0,-20,9197
Bariri,1,0,-22,73
Barra do Turvo,1,0,-24,759
Barretos,6,0,-20,5531
Barueri,64,4,-23,5057
Batatais,1,0,-20,8929
Bauru,21,2,-22,3246
Bebedouro,1,0,-20,9491
Bilac,1,0,-21,404
Birigui,6,0,-21,291
Boituva,4,0,-23,2855
Botucatu,23,2,-22,8837
Bragança Paulista,28,5,-22,9527
Brodowski,3,0,-20,9845
Buritama,1,0,-21,661
Caçapava,5,0,-23,992
Cachoeira Paulista,1,0,-22,6665
Caiabu,1,1,-22,127
Caieiras,42,6,-23,3607
Cajamar,5,1,-23,355
Cajuru,2,0,-21,2749
Campinas,142,5,-22,9053
Campos do Jordão,1,0,-22,7296
Capão Bonito,1,0,-24,113
Caraguatatuba,4,2,-23,6125
Carapicuíba,43,2,-23,5235
Catanduva,6,2,-21,1314
Cedral,1,0,-20,9009
Conchas,1,0,-23,154
Cotia,70,4,-23,6022
Cravinhos,6,1,-21,338
Cruzeiro,1,0,-22,5728
Cubatão,4,0,-23,8911
Diadema,94,2,-23,6813
Dracena,1,1,-21,4843
Eldorado,1,1,-24,5281
Embu das Artes,43,2,-23,6437
Embu-Guaçu,4,0,-23,8297
Estiva Gerbi,1,0,-22,2713
Fernandópolis,4,0,-20,2806
Ferraz de Vasconcelos,41,1,-23,5411
Franca,4,1,-20,5352
Francisco Morato,20,1,-23,2792
Franco da Rocha,41,2,-23,3229
Garça,2,0,-22,2125
Guararapes,3,0,-21,2544
Guararema,2,0,-23,4112
Guaratinguetá,1,0,-22,8075
Guarujá,17,0,-23,9888
Guarulhos,253,22,-23,4538
Hortolândia,2,0,-22,8529
Ibirá,1,0,-21,83
Ibiúna,1,0,-23,6596
Igarapava,1,0,-20,407
Igaratá,1,0,-23,2037
Ilha Comprida,9,0,-24,7307
Ilhabela,3,0,-23,7785
Indaiatuba,4,0,-23,816
Iracemápolis,1,0,-22,5832
Itanhaém,3,0,-24,1736
Itapecerica da Serra,33,1,-23,7161
Itapetininga,5,1,-23,5886
Itapeva,1,0,-23,9788
Itapevi,27,5,-23,5488
Itapira,7,0,-22,4357
Itaquaquecetuba,37,0,-23,4835
Itararé,1,0,-24,1085
Itatiba,1,1,-23,35
Itatinga,1,0,-23,1047
Itu,3,0,-23,2544
Itupeva,1,0,-23,1526
Jaboticabal,7,2,-21,252
Jacareí,6,0,-23,2983
Jaci,2,0,-20,8805
Jaguariúna,1,0,-22,7037
Jales,2,0,-20,2672
Jandira,8,1,-23,5275
Jardinópolis,3,0,-21,176
Jaú,3,0,-22,2936
Joanópolis,1,0,-22,927
José Bonifácio,2,0,-21,551
Jundiaí,19,3,-23,1852
Laranjal Paulista,4,2,-23,506
Leme,3,2,-22,1809
Lençóis Paulista,3,0,-22,6027
Limeira,7,1,-22,566
Lins,1,1,-21,6718
Lorena,1,0,-22,7334
Louveira,1,0,-23,856
Macatuba,1,0,-22,5002
Macedônia,1,0,-20,1444
Mairinque,1,0,-23,5398
Mairiporã,9,2,-23,3171
Marília,7,1,-22,2171
Matão,3,0,-21,6025
Mauá,66,2,-23,6677
Mirassol,7,0,-20,8169
Mococa,2,1,-21,4647
Mogi das Cruzes,80,5,-23,5208
Mogi Guaçu,6,1,-22,3675
Mogi Mirim,1,0,-22,4332
Mongaguá,2,1,-24,809
Monte Alto,5,1,-21,2655
Monte Mor,1,0,-22,945
Morro Agudo,2,0,-20,7288
Morungaba,1,0,-22,8811
Nhandeara,1,0,-20,6945
Nova Odessa,1,1,-22,7832
Olímpia,4,0,-20,7366
Orlândia,4,0,-20,7169
Osasco,172,16,-23,5324
Ourinhos,1,0,-22,9797
Pariquera-Açu,2,0,-24,7147
Paulínia,5,0,-22,7542
Perneiras,1,0,-22,3511
Pedra Bela,1,0,-22,7902
Penápolis,1,1,-21,4148
Peruíbe,4,0,-24,312
Pilar do Sul,3,0,-23,8077
Pindamonhangaba,2,1,-22,9246
Pindorama,1,0,-21,1853
Piracicaba,17,1,-22,7338
Pirajuí,1,0,-21,999
Piratininga,1,0,-22,4142
Poá,11,2,-23,5333
Pontal,4,0,-21,216
Porto Feliz,1,0,-23,2093
Porto Ferreira,2,1,-21,8498
Praia Grande,27,6,-24,84
Pratânia,2,0,-22,8112
Presidente Prudente,4,2,-22,1207
Presidente Venceslau,5,2,-21,8732
Promissão,2,0,-21,5356
Ribeirão Pires,23,0,-23,7067
Ribeirão Preto,65,5,-21,1699
Rincão,1,0,-21,5894
Rinópolis,1,0,-21,7284
Rio Claro,8,2,-22,3984
Rio Grande da Serra,7,0,-23,7437
Salto,3,0,-23,1996
Salto de Pirapora,2,0,-23,6474
Santa Bárbara d'Oeste,1,0,-22,7553
Santa Branca,2,1,-23,3933
Santa Cruz do Rio Pardo,5,0,-22,8988
Santa Isabel,1,1,-23,3172
Santa Lúcia,1,0,-21,685
Santana de Parnaíba,41,0,-23,4439
Santo André,186,6,-23,6737
Santos,216,12,-23,9535
São Bernardo do Campo,231,15,-23,6914
São Caetano do Sul,85,3,-23,6229
São Carlos,6,2,-22,174
São João da Boa Vista,4,0,-21,9707
São José do Rio Pardo,1,0,-21,5953
São José do Rio Preto,61,3,-20,8113
São José dos Campos,113,3,-23,1896
São Manuel,3,1,-22,7321
São Miguel Arcanjo,2,0,-23,8782
São Paulo,7764,558,-23,5329
São Pedro,1,0,-22,5483
São Roque,5,0,-23,5226
São Sebastião,4,1,-23,7951
São Vicente,27,0,-23,9574
Sertãozinho,6,0,-21,1316
Sorocaba,29,3,-23,4969
Sumaré,3,0,-22,8204
Suzano,44,6,-23,5448
Taboão da Serra,92,5,-23,6019
Tanabi,1,0,-20,6228
Tatuí,6,0,-23,3487
Taubaté,8,0,-23,104
Terra Roxa,1,0,-20,787
Tupã,1,0,-21,9335
Ubatuba,2,0,-23,4332
Valinhos,7,1,-22,9698
Vargem Grande Paulista,5,3,-23,5993
Várzea Paulista,1,0,-23,2136
Vinhedo,8,0,-23,302
Votorantim,3,0,-23,5446
Votuporanga,6,0,-20,4237
